species_name,species,common
Allosmerus elongatus,ALLELO,Whitebait_smelt
Alosa sapidissima,ALOSAP,American_Shad
Ammodytes personatus,AMMHEX,Pacific_Sand_Lance
Amphistichus rhodoterus,AMPRHO,Redtail_Surfperch
Anoplopoma fimbria,ANOFIM,Sablefish
Artedius corallinus,ARTCOR,Coralline_Sculpin
Artedius harringtoni,ARTHAR,Scalyhead_Sculpin
Atheresthes stomias,ATHSTO,Arrowtooth_Flounder
Aulorhynchus flavidus,AULFLA,Tube_snout
Aurelia labiata,AURLAB,Moon_Jelly
Bathyraja interrupta,BATINT,Sandpaper_skate
Brachyistius frenatus,BRAFRE,Kelp_Surfperch
Citharichthys xanthostigma,CITSOR,Pacific_sanddab
Clupea pallasii,CLUPAL,Pacific_Herring
Cryptacanthodes giganteus,CRYGIG,Giant_Wrymouth
Doryteuthis opalescens,DOROPA,Opalescent_Squid
Enteroctopus dofleini,ENTDOF,Giant_Pacific_Octopus
Eumetopias jubatus,EUMJUB,Steller_Sea_Lion
Gadus macrocephalus,GADMAC,Pacific_Cod
Gasterosteus aculeatus,GASACU,Threespine_Stickleback
Glyptocephalus zachirus,GLYZAC,Rex_sole
Gobiesox maeandricus,GOBMAE,Northern_Klingfish
Hemilepidotus hemilepidotus,HEMHEM,Red_Irish_Lord
Hemilepidotus spinosus,HEMSPI,Brown_Irish_Lord
Hexagrammos decagrammus,HEXDEC,Kelp_Greenling
Hexagrammos_lagocephalus,HEXLAG,Rock_Greenling
Hippoglossoides elassodon,HIPELA,Flathead_Sole
Hippoglossus stenolepis,HIPSTE,Pacific_Halibut
Hydrolagus colliei,HYDCOL,Spotted_Ratfish
Hypomesus pretiosus,HYPPRE,Surf_Smelt
Icelinus filamentosus,ICEFIL,Threadfin_Sculpin
Icosteus aenigmaticus,ICOAEN,Ragfish
Isopsetta isolepis,ISOISO,Butter_Sole
Jordania zonope,JORZON,Longfin_Sculpin
Lampetra tridentada,LAMTRI,Pacific_Lamprey
Leptocottus armatus,LEPARM,Pacific_Staghorn_Sculpin
Leptasterias hexactis,LEPHEX,Six_Rayed_Starfish
Liparis fucensis,LIPFUC,Slipskin_Snailfish
Liparis mucosus,LIPMUC,Slimy_Snailfish
Liparis pulchellus,LIPPUL,Showy_Snailfish
Lumpenus sagitta,LUMSAG,Snake_Prickleback
Lyopsetta exilis,LYOEXI,Slender_sole
Merluccius productus,MERPRO,Pacific_Hake
Microstomus pacificus,MICPAC,Dover_Sole
Microgadus proximus,MICPRO,Pacific_Tomcod
Nautichthys oculofasciatus,NAUOCU,Sailfin_Sculpin
Oligocottus snyderi,OLISNY,Fluffy_sculpin
Oncorhynchus gorbuscha,ONCGOR,Pink_Salmon
Oncorhynchus keta,ONCKET,Chum_Salmon
Oncorhynchus kisutch,ONCKIS,Coho_Salmon
Oncorhynchus mykiss,ONCMYK,Steelhead
Oncorhynchus nerka,ONCNER,Sockeye_Salmon
Oncorhynchus tshawytscha,ONCTSH,Chinook_Salmon
Ophiodon elongatus,OPHELO,Lingcod
Parophrys vetulus,PARVET,English_Sole
Phoca_vitulina,PHOLAR,Harbor_seal
Platichthys stellatus,PLASTE,Starry_Flounder
Psettichthys melanostictus,PSEMEL,Sand_Sole
Raja binoculata,RAJBIN,Big_Skate
Raja rhina,RAJRHI,Longnose_Skate
Rhacochilus vacca,RHAVAC,Pile_Surfperch
Salmo trutta,SALTRU,Brown_Trout
Sardinops sagax,SARSAG,Pacific_Sardine
Scorpaenichthys marmoratus,SCOMAR,Cabezon
Sebastolobus alascanus,SEBALA,Shortspine_Thornyhead
Sebastes sp.,SEBAST,Sebastes sp.
Sebastes caurinus,SEBCAU,Copper_Rockfish
Sebastes elongatus,SEBELO,Green_Striped_Rockfish
Sebastes entomelas,SEBENT,Widow_Rockfish
Sebastes mystinus,SEBMYS,Blue_Rockfish
Sebastes pinniger,SEBPIN,Canary_Rockfish
Sebastes ruberrimus,SEBRUB,Yelloweye_Rockfish
Squalus acanthias,SQUACA,Spiny_Dogfish
Strongylocentrotus purpuratus,STRPUR,Pacific_Purple_Sea_Urchin
Thaleichthys pacificus,THAPAC,Eulachon
Gadus_chalcogrammus,THECHA,Walleye_Pollock
Trichodon trichodon,TRITRI,Pacific_Sandfish
Zalophus californianus,ZALCAL,California_Sea_Lion
